task_id	model	acc
50	Mistral-Small-3.1-24B-Instruct-2503	0.0000
50	LLaVA-1.5-13B-HF	0.0000
50	Phi-4-multimodal-instruct	0.0096
52	InternVL3-9B-Instruct	0.0600
52	Do-7B	0.0000
52	gemini-2.5-pro-preview-03-25	0.0400
52	Do-3B	0.0000
52	Mistral-Small-3.1-24B-Instruct-2503	0.0000
52	LLaVA-1.5-13B-HF	0.0000
52	Phi-4-multimodal-instruct	0.0300
53	InternVL3-9B-Instruct	0.0594
53	Do-7B	0.0000
53	gemini-2.5-pro-preview-03-25	0.0495
53	Do-3B	0.0000
53	Mistral-Small-3.1-24B-Instruct-2503	0.0297
53	LLaVA-1.5-13B-HF	0.0000
53	Phi-4-multimodal-instruct	0.0693
67	InternVL3-9B-Instruct	0.1100
67	Do-7B	0.0000
67	gemini-2.5-pro-preview-03-25	0.0500
67	Do-3B	0.0000
67	Mistral-Small-3.1-24B-Instruct-2503	0.0200
67	LLaVA-1.5-13B-HF	0.0000
67	Phi-4-multimodal-instruct	0.0300
48	InternVL3-9B-Instruct	0.0000
48	Do-7B	0.0000
48	gemini-2.5-pro-preview-03-25	0.0000
48	Do-3B	0.0000
48	Mistral-Small-3.1-24B-Instruct-2503	0.0000
48	LLaVA-1.5-13B-HF	0.0000
48	Phi-4-multimodal-instruct	0.0000
